"County","Sector","2015","Total Usage"
"ALAMEDA","Non-Residential","    7357.909168","    7357.909168"
"ALAMEDA","Residential","    2899.423542","    2899.423542"
"ALAMEDA","Total","   10257.332710","   10257.332710"
"ALPINE","Non-Residential","       4.354396","       4.354396"
"ALPINE","Residential","      11.855504","      11.855504"
"ALPINE","Total","      16.209900","      16.209900"
"AMADOR","Non-Residential","     152.643553","     152.643553"
"AMADOR","Residential","     132.980232","     132.980232"
"AMADOR","Total","     285.623785","     285.623785"
"BUTTE","Non-Residential","     780.488761","     780.488761"
"BUTTE","Residential","     716.501321","     716.501321"
"BUTTE","Total","    1496.990082","    1496.990082"
"CALAVERAS","Non-Residential","     119.382018","     119.382018"
"CALAVERAS","Residential","     191.705184","     191.705184"
"CALAVERAS","Total","     311.087202","     311.087202"
"COLUSA","Non-Residential","     244.513369","     244.513369"
"COLUSA","Residential","      64.437041","      64.437041"
"COLUSA","Total","     308.950409","     308.950409"
"CONTRA COSTA","Non-Residential","    6776.011140","    6776.011140"
"CONTRA COSTA","Residential","    2742.073498","    2742.073498"
"CONTRA COSTA","Total","    9518.084638","    9518.084638"
"DEL NORTE","Non-Residential","      95.084433","      95.084433"
"DEL NORTE","Residential","     116.055484","     116.055484"
"DEL NORTE","Total","     211.139918","     211.139918"
"EL DORADO","Non-Residential","     450.106887","     450.106887"
"EL DORADO","Residential","     723.831358","     723.831358"
"EL DORADO","Total","    1173.938246","    1173.938246"
"FRESNO","Non-Residential","    5012.233259","    5012.233259"
"FRESNO","Residential","    2674.195219","    2674.195219"
"FRESNO","Total","    7686.428478","    7686.428478"
"GLENN","Non-Residential","     294.464463","     294.464463"
"GLENN","Residential","      90.436030","      90.436030"
"GLENN","Total","     384.900493","     384.900493"
"HUMBOLDT","Non-Residential","     434.577097","     434.577097"
"HUMBOLDT","Residential","     389.990132","     389.990132"
"HUMBOLDT","Total","     824.567229","     824.567229"
"IMPERIAL","Non-Residential","     867.980839","     867.980839"
"IMPERIAL","Residential","     536.315921","     536.315921"
"IMPERIAL","Total","    1404.296760","    1404.296760"
"INYO","Non-Residential","     151.183683","     151.183683"
"INYO","Residential","      56.874062","      56.874062"
"INYO","Total","     208.057745","     208.057745"
"KERN","Non-Residential","   12901.915866","   12901.915866"
"KERN","Residential","    2267.943879","    2267.943879"
"KERN","Total","   15169.859744","   15169.859744"
"KINGS","Non-Residential","    1407.977955","    1407.977955"
"KINGS","Residential","     368.152945","     368.152945"
"KINGS","Total","    1776.130901","    1776.130901"
"LAKE","Non-Residential","     154.671796","     154.671796"
"LAKE","Residential","     276.406893","     276.406893"
"LAKE","Total","     431.078689","     431.078689"
"LASSEN","Non-Residential","     268.742430","     268.742430"
"LASSEN","Residential","      94.823925","      94.823925"
"LASSEN","Total","     363.566356","     363.566356"
"LOS ANGELES","Non-Residential","   49130.460026","   49130.460026"
"LOS ANGELES","Residential","   20471.564543","   20471.564543"
"LOS ANGELES","Total","   69602.024569","   69602.024569"
"MADERA","Non-Residential","    1277.849730","    1277.849730"
"MADERA","Residential","     421.333410","     421.333410"
"MADERA","Total","    1699.183139","    1699.183139"
"MARIN","Non-Residential","     701.612393","     701.612393"
"MARIN","Residential","     653.265528","     653.265528"
"MARIN","Total","    1354.877922","    1354.877922"
"MARIPOSA","Non-Residential","      39.307825","      39.307825"
"MARIPOSA","Residential","      67.609430","      67.609430"
"MARIPOSA","Total","     106.917256","     106.917256"
"MENDOCINO","Non-Residential","     273.749144","     273.749144"
"MENDOCINO","Residential","     294.172808","     294.172808"
"MENDOCINO","Total","     567.921952","     567.921952"
"MERCED","Non-Residential","    2222.147168","    2222.147168"
"MERCED","Residential","     706.260171","     706.260171"
"MERCED","Total","    2928.407339","    2928.407339"
"MODOC","Non-Residential","     110.235143","     110.235143"
"MODOC","Residential","      54.069319","      54.069319"
"MODOC","Total","     164.304461","     164.304461"
"MONO","Non-Residential","     111.482643","     111.482643"
"MONO","Residential","      78.857738","      78.857738"
"MONO","Total","     190.340381","     190.340381"
"MONTEREY","Non-Residential","    1989.350631","    1989.350631"
"MONTEREY","Residential","     684.295335","     684.295335"
"MONTEREY","Total","    2673.645967","    2673.645967"
"NAPA","Non-Residential","     691.179277","     691.179277"
"NAPA","Residential","     362.093099","     362.093099"
"NAPA","Total","    1053.272377","    1053.272377"
"NEVADA","Non-Residential","     221.408570","     221.408570"
"NEVADA","Residential","     406.458242","     406.458242"
"NEVADA","Total","     627.866812","     627.866812"
"ORANGE","Non-Residential","   13799.566708","   13799.566708"
"ORANGE","Residential","    6875.759330","    6875.759330"
"ORANGE","Total","   20675.326038","   20675.326038"
"PLACER","Non-Residential","    1529.567565","    1529.567565"
"PLACER","Residential","    1365.818731","    1365.818731"
"PLACER","Total","    2895.386296","    2895.386296"
"PLUMAS","Non-Residential","     132.827183","     132.827183"
"PLUMAS","Residential","      91.395498","      91.395498"
"PLUMAS","Total","     224.222681","     224.222681"
"RIVERSIDE","Non-Residential","    8199.474845","    8199.474845"
"RIVERSIDE","Residential","    7090.413146","    7090.413146"
"RIVERSIDE","Total","   15289.887991","   15289.887991"
"SACRAMENTO","Non-Residential","    6188.144476","    6188.144476"
"SACRAMENTO","Residential","    4738.564168","    4738.564168"
"SACRAMENTO","Total","   10926.708643","   10926.708643"
"SAN BENITO","Non-Residential","     249.320035","     249.320035"
"SAN BENITO","Residential","     118.085033","     118.085033"
"SAN BENITO","Total","     367.405068","     367.405068"
"SAN BERNARDINO","Non-Residential","    9806.131162","    9806.131162"
"SAN BERNARDINO","Residential","    4953.489541","    4953.489541"
"SAN BERNARDINO","Total","   14759.620704","   14759.620704"
"SAN DIEGO","Non-Residential","   13001.745393","   13001.745393"
"SAN DIEGO","Residential","    6883.311679","    6883.311679"
"SAN DIEGO","Total","   19885.057072","   19885.057072"
"SAN FRANCISCO","Non-Residential","    4368.426507","    4368.426507"
"SAN FRANCISCO","Residential","    1437.379610","    1437.379610"
"SAN FRANCISCO","Total","    5805.806116","    5805.806116"
"SAN JOAQUIN","Non-Residential","    3434.601786","    3434.601786"
"SAN JOAQUIN","Residential","    1745.357156","    1745.357156"
"SAN JOAQUIN","Total","    5179.958942","    5179.958942"
"SAN LUIS OBISPO","Non-Residential","    1077.679484","    1077.679484"
"SAN LUIS OBISPO","Residential","     634.625454","     634.625454"
"SAN LUIS OBISPO","Total","    1712.304938","    1712.304938"
"SAN MATEO","Non-Residential","    2926.261661","    2926.261661"
"SAN MATEO","Residential","    1505.671732","    1505.671732"
"SAN MATEO","Total","    4431.933393","    4431.933393"
"SANTA BARBARA","Non-Residential","    2344.241121","    2344.241121"
"SANTA BARBARA","Residential","     766.358133","     766.358133"
"SANTA BARBARA","Total","    3110.599254","    3110.599254"
"SANTA CLARA","Non-Residential","   13000.626588","   13000.626588"
"SANTA CLARA","Residential","    3859.209092","    3859.209092"
"SANTA CLARA","Total","   16859.835680","   16859.835680"
"SANTA CRUZ","Non-Residential","     682.647970","     682.647970"
"SANTA CRUZ","Residential","     551.701187","     551.701187"
"SANTA CRUZ","Total","    1234.349158","    1234.349158"
"SHASTA","Non-Residential","     837.248805","     837.248805"
"SHASTA","Residential","     729.764078","     729.764078"
"SHASTA","Total","    1567.012883","    1567.012883"
"SIERRA","Non-Residential","       9.660738","       9.660738"
"SIERRA","Residential","      14.359115","      14.359115"
"SIERRA","Total","      24.019853","      24.019853"
"SISKIYOU","Non-Residential","     271.487817","     271.487817"
"SISKIYOU","Residential","     218.689488","     218.689488"
"SISKIYOU","Total","     490.177305","     490.177305"
"SOLANO","Non-Residential","    2199.347263","    2199.347263"
"SOLANO","Residential","    1016.376649","    1016.376649"
"SOLANO","Total","    3215.723911","    3215.723911"
"SONOMA","Non-Residential","    1661.656412","    1661.656412"
"SONOMA","Residential","    1283.718184","    1283.718184"
"SONOMA","Total","    2945.374596","    2945.374596"
"STANISLAUS","Non-Residential","    3054.096946","    3054.096946"
"STANISLAUS","Residential","    1708.654083","    1708.654083"
"STANISLAUS","Total","    4762.751029","    4762.751029"
"SUTTER","Non-Residential","     373.365094","     373.365094"
"SUTTER","Residential","     274.445158","     274.445158"
"SUTTER","Total","     647.810252","     647.810252"
"TEHAMA","Non-Residential","     276.219257","     276.219257"
"TEHAMA","Residential","     229.651559","     229.651559"
"TEHAMA","Total","     505.870816","     505.870816"
"TRINITY","Non-Residential","     101.051829","     101.051829"
"TRINITY","Residential","      10.261935","      10.261935"
"TRINITY","Total","     111.313763","     111.313763"
"TULARE","Non-Residential","    3263.553744","    3263.553744"
"TULARE","Residential","    1219.385964","    1219.385964"
"TULARE","Total","    4482.939708","    4482.939708"
"TUOLUMNE","Non-Residential","     235.499722","     235.499722"
"TUOLUMNE","Residential","     206.545733","     206.545733"
"TUOLUMNE","Total","     442.045455","     442.045455"
"VENTURA","Non-Residential","    3782.157683","    3782.157683"
"VENTURA","Residential","    1822.525154","    1822.525154"
"VENTURA","Total","    5604.682837","    5604.682837"
"YOLO","Non-Residential","    1197.794134","    1197.794134"
"YOLO","Residential","     504.997365","     504.997365"
"YOLO","Total","    1702.791499","    1702.791499"
"YUBA","Non-Residential","     269.201358","     269.201358"
"YUBA","Residential","     210.034874","     210.034874"
"YUBA","Total","     479.236233","     479.236233"
