county,population,housing_units,land_area_sq_mi
Alameda,1510271,582549,739
Alpine,1175,1760,738
Amador,38091,18032,595
Butte,220000,95835,1636
Calaveras,45578,27925,1020
Colusa,21419,7883,1151
Contra Costa,1049025,400263,716
Del Norte,28610,11186,1006
El Dorado ,181058,88159,1708
Fresno,930450,315531,5958
Glenn,28122,10778,1314
Humboldt,134623,61559,3568
Imperial,174528,56067,4177
Inyo,18546,9478,10181
Kern,839631,284367,8132
Kings,152982,43867,1389
Lake,64665,35492,1256
Lassen,34895,12710,4541
Los Angeles,9818605,3445076,4058
Madera,150865,49140,2137
Marin,252409,111214,520
Mariposa,18251,10188,1449
Mendocino,87841,40323,3506
Merced,255793,83698,1935
Modoc,9686,5192,3918
Mono,14202,13912,3049
Monterey,415057,139048,3281
Napa,136484,54759,748
Nevada,98764,52590,958
Orange,3010232,1048907,791
Placer,348432,152648,1407
Plumas,20007,15566,2553
Riverside,2189641,800707,7206
Sacramento,1418788,555932,965
San Benito,55269,17870,1389
San Bernardino,2035210,699637,20057
San Diego,3095313,1164786,4207
San Francisco,805235,376942,47
San Joaquin,685306,233755,1391
San Luis Obispo,269637,117315,3299
San Mateo,718451,271031,448
Santa Barbara,423895,152834,2735
Santa Clara,1781642,631920,1290
Santa Cruz,262382,104476,445
Shasta,177223,77313,3775
Sierra,3240,2328,953
Siskiyou,44900,23910,6278
Solano,413344,152698,822
Sonoma,483878,204572,1576
Stanislaus,514453,179503,1495
Sutter,94737,33858,602
Tehama,63463,26987,2950
Trinity,13786,8681,3179
Tulare,442179,141696,4824
Tuolumne,55365,31244,2221
Ventura,823318,281695,1843
Yolo,200849,75054,1015
Yuba,72155,27635,632
